Artist;Degree_Centrality;Betweenness_Centrality;Closeness_Centrality;Eigenvector_Centrality;Community_ID
Pailita;0.0038461538461538464;0.0007289576245266866;0.15197103923034602;0.011880407468436143;80
Troye Sivan;0.0038461538461538464;0.0014527617019461036;0.14904641671278362;0.00041505683712152083;154
Sam Smith;0.0038461538461538464;0.0011036304617465626;0.1567722430804156;0.00048726768013163346;154
Justin Timberlake;0.0038461538461538464;0.00042115924935963504;0.1716441750047798;0.002038530604703761;154
Rick Ross;0.0038461538461538464;1.7290865391513816e-05;0.1672110728254796;0.002606368778698587;164
Bruno Mars;0.0038461538461538464;0.01489183862961079;0.1715375857841186;0.002765717635517767;15
RAYE;0.0038461538461538464;0.0023060547322115658;0.16041387474314303;0.003106060687479857;154
Kid Cudi;0.0038461538461538464;0.004762475361812834;0.1830567874802467;0.0042456698175521645;5
JS o Mão de Ouro;0.0038461538461538464;0.003261870692916235;0.13079199446386947;0.00018357904147385008;70
Imanbek;0.0038461538461538464;0.004084967451844383;0.1700940223569534;0.003911019298737605;93
DJ Snake;0.0038461538461538464;0.0026561460888818167;0.18838328641124732;0.013608780140062018;164
Bausa;0.0038461538461538464;0.002851533965510209;0.12291576341190698;1.4179348919487501e-05;22
Jhené Aiko;0.0038461538461538464;0.0022983037675545254;0.1585418168974702;0.0007647373775511599;2
Doja Cat;0.0038461538461538464;0.0030305940380913857;0.19147367766244847;0.016784412358451423;164
El Alfa;0.0038461538461538464;0.00106356358637236;0.16888079823172547;0.02685797278918073;155
Steve Aoki;0.0038461538461538464;0.0032991722058948584;0.16150810308381933;0.001135011889675637;87
Sick Luke;0.0038461538461538464;0.004120820381243729;0.13411524145057077;0.00015750953613231464;141
Joel Corry;0.0038461538461538464;0.0015940759566892922;0.16229887914670524;0.003065852678582372;154
YG;0.0038461538461538464;0.0016238615168357965;0.1738770618806288;0.0038136385757222536;84
Marcynho Sensação;0.0038461538461538464;0.000934311661540656;0.13204239594057948;0.0002350685618800628;85
Jhayco;0.0038461538461538464;0.0004165026197693767;0.1758323948489448;0.054966180556587356;6
Maroon 5;0.0038461538461538464;0.004067424587667054;0.17948842904983253;0.002428450840984765;84
Madison Beer;0.0038461538461538464;0.005580500320718409;0.13293199822314355;8.131889017005674e-05;154
K/DA;0.0038461538461538464;0.0009325504514728376;0.11254897146856946;5.050078135709132e-06;154
Kendo Kaponi;0.0038461538461538464;3.410428656742311e-05;0.17867573887949048;0.05160577689405064;6
Pitbull;0.0038461538461538464;0.00417074072911191;0.1643264082734636;0.010713009105459222;15
cho;0.0038461538461538464;8.245563403293569e-05;0.1688463889411322;0.044169958900503174;6
(G)I-DLE;0.0038461538461538464;0.0009325504514728376;0.11254897146856946;5.050078135709132e-06;154
Brray;0.0038461538461538464;4.1098840125145137e-05;0.16926022812971342;0.043450966459009636;6
Crissin;0.003205128205128205;0.0;0.1820914253841083;0.03429035617248891;6
Labrinth;0.003205128205128205;0.008762167702190656;0.15976442585754327;0.002157015564262691;161
Natan & Shander;0.003205128205128205;0.0;0.1820914253841083;0.03429035617248891;6
Yo-Yo Ma;0.003205128205128205;0.0;0.1432742180019151;0.00036181733363193096;161
C. Tanganana;0.003205128205128205;0.002807530498644308;0.12908069734004313;0.0007457444931542215;87
Zendaya;0.003205128205128205;0.007427783534262046;0.1313933846397775;0.00011312563191375381;161
Totoy El Frio;0.003205128205128205;0.0;0.1820914253841083;0.03429035617248891;6
WATT;0.003205128205128205;0.0;0.1432742180019151;0.00036181733363193096;161
Israel & Rodolffo;0.003205128205128205;0.002605619738397075;0.13153937728937729;0.000195780127568768;85
Young Stoner Life;0.003205128205128205;1.8944561142614214e-05;0.16169718574108818;0.0011144483285504448;5
Cauty;0.003205128205128205;0.0;0.1562107590806931;0.02649346872109608;6
Boza;0.003205128205128205;1.0298533540902887e-05;0.1562991469111801;0.01954427105986599;80
Robert Trujillo;0.003205128205128205;0.0;0.1432742180019151;0.00036181733363193096;161
Fuerza Regida;0.003205128205128205;0.001968744504671063;0.14019591895162864;0.0011435043496995992;0
mc jhenny;0.003205128205128205;4.934129372872157e-06;0.0034900284900284896;9.913247064090172e-15;52
Taiu;0.003205128205128205;0.0012044482627582736;0.14649073306046967;0.003035102744307467;87
Shawn Mendes;0.003205128205128205;0.002531884535222869;0.1661050464868865;0.003050292998436627;5
Tarcísio do Acordeon;0.003205128205128205;0.0008397339956031617;0.11242681819604895;2.4101561307828625e-05;85
Avicii;0.003205128205128205;0.003731024160786829;0.11519294925258228;3.457845360372332e-06;160
Leslie Grace;0.003205128205128205;5.734004467187686e-05;0.16833192706136033;0.019219823239233335;14
Chad Smith;0.003205128205128205;0.0;0.1432742180019151;0.00036181733363193096;161
BIA;0.003205128205128205;0.013673158867966873;0.1924072618813738;0.012990445578944972;22
Morat;0.003205128205128205;0.0019286412701840562;0.1565944967730682;0.012330031329841415;87
Reik;0.003205128205128205;0.00043148575940316373;0.1830163597444958;0.032748627123273186;155
Grupo Frontera;0.003205128205128205;0.004778742474269754;0.1666059664099471;0.01344295420543756;0
Lit Killah;0.003205128205128205;0.0;0.15306576965701457;0.008367783979331371;87
WizKid;0.003205128205128205;0.0007319928993413957;0.15656491156680083;0.0006491811279372802;5
Flow La Movie;0.003205128205128205;0.0;0.1644242216117216;0.034298193307248016;6
JID;0.003205128205128205;0.0004951980158779992;0.13860145123316223;6.999302079577082e-05;84
Pop Smoke;0.003205128205128205;0.0010386526519656858;0.16881199366939842;0.0017541669747129795;5
Bebe Rexha;0.003205128205128205;0.007059805103714764;0.186601683612492;0.014453143385774504;154
La Joaqui;0.003205128205128205;0.0013091201321695782;0.14477604418642154;0.001110922197915331;87
True Damage;0.003205128205128205;0.0;0.15638763482224513;0.008824619599318248;154
Callejero Fino;0.003205128205128205;0.00029267576893600677;0.12776720273251263;0.00030087970759316276;87
